Periode,TYPE_EENHEID,NIS_CODE_EENHEID,LABEL_EENHEID,AANTAL fieldLabel_nl,TOTAAL
202106,Gemeente,43007,Kaprijke,0,6508
202106,Gemeente,44019,Evergem,6,35791
202106,Gemeente,44020,Gavere,0,13007
202106,Gemeente,44064,Sint-Martens-Latem,0,8285
202106,Gemeente,44083,Deinze (vanaf 2019),10,43922
202106,Gemeente,45060,Kluisbergen,0,6682
202106,Gemeente,45062,Horebeke,0,2009
202106,Gemeente,45064,Maarkedal,0,6362
202106,Gemeente,45068,Kruisem (vanaf 2019),0,15750
202106,Gemeente,46014,Lokeren,9,42145
202106,Gemeente,46025,Temse,9,30287
202106,Gemeente,51065,Frasnes-Lez-Anvaing,0,11874
202106,Gemeente,51068,Opzullik (vanaf 2019),1,8377
202106,Gemeente,52010,Chapelle-Lez-Herlaimont,1,14735
202106,Gemeente,52015,Courcelles,8,31053
202106,Gemeente,52021,Fleurus,7,22975
202106,Gemeente,52022,Fontaine-l'Evêque,11,17959
202106,Gemeente,52074,Aiseau-Presles,4,10790
202106,Gemeente,53044,Jurbeke,0,10655
202106,Gemeente,53046,Lens,0,4629
202106,Gemeente,53082,Colfontaine,4,20693
202106,Gemeente,53084,Quévy,0,8073
202106,Gemeente,63080,Weismes,1,7417
202106,Gemeente,64065,Saint-Georges-Sur-Meuse,0,7057
202106,Gemeente,72037,Hamont-Achel,0,14337
202106,Gemeente,72043,Pelt (vanaf 2019),7,33383
202106,Gemeente,73001,Alken,7,11685
202106,Gemeente,73107,Maasmechelen,7,39161
202106,Gemeente,73109,Voeren,0,4193
202106,Gemeente,82005,Bertogne,0,3750
202106,Gemeente,84010,Bouillon,0,5420
202106,Gemeente,85007,Chiny,0,5242
202106,Gemeente,85024,Meix-Devant-Virton,0,2833
202106,Gemeente,85039,Tintigny,0,4340
202106,Gemeente,91034,Dinant,12,13300
202106,Gemeente,91054,Gedinne,0,4646
202106,Gemeente,91064,Havelange,1,5293
202106,Gemeente,91103,Onhaye,0,3247
